local-authority-code,league-group,la_imd_pop_quintile
BUN,District councils,1
HYN,District councils,1
HAS,District councils,1
GRY,District councils,1
THA,District councils,1
PEN,District councils,1
BAR,District councils,1
TEN,District councils,1
ELI,District councils,1
PRE,District councils,1
MAS,District councils,1
SWL,District councils,1
NOW,District councils,1
LIC,District councils,1
ASH,District councils,1
SCE,District councils,1
IPS,District councils,1
FEN,District councils,1
BOS,District councils,1
COP,District councils,1
CHS,District councils,1
LAC,District councils,1
SHE,District councils,1
ROS,District councils,1
KIN,District councils,1
NUN,District councils,1
BAI,District councils,1
TOR,District councils,1
BOT,District councils,1
ALL,District councils,1
WYE,District councils,1
BAE,District councils,1
RED,District councils,1
DOV,District councils,1
EAS,District councils,1
GLO,District councils,1
CAR,District councils,1
HAA,District councils,2
GRA,District councils,2
SEG,District councils,2
HAR,District councils,2
TAW,District councils,2
NNO,District councils,2
WYR,District councils,2
GOS,District councils,2
WOC,District councils,2
WLI,District councils,2
CAN,District councils,2
NDE,District councils,2
STV,District councils,2
BRE,District councils,2
ROH,District councils,2
ESK,District councils,2
DAR,District councils,2
NEA,District councils,2
SWT,District councils,2
NEC,District councils,2
EST,District councils,2
CRW,District councils,2
ERE,District councils,2
ASF,District councils,2
ARU,District councils,2
WLA,District councils,2
WDE,District councils,2
BRX,District councils,2
FOE,District councils,2
NWA,District councils,2
AMB,District councils,2
SHO,District councils,2
ADU,District councils,2
NED,District councils,2
SSO,District councils,2
WOT,District councils,2
CHO,District councils,2
MDE,District councils,3
CAT,District councils,3
CAS,District councils,3
MAI,District councils,3
COL,District councils,3
MEN,District councils,3
OXO,District councils,3
EDN,District councils,3
EXE,District councils,3
WSK,District councils,3
RUH,District councils,3
TEI,District councils,3
MAV,District councils,3
FYL,District councils,3
WYC,District councils,3
LEE,District councils,3
RYE,District councils,3
HIG,District councils,3
WAT,District councils,3
SRI,District councils,3
EPP,District councils,3
STF,District councils,3
SPE,District councils,3
GED,District councils,3
BRA,District councils,3
CAB,District councils,3
NWL,District councils,3
CHR,District councils,3
WEW,District councils,3
BRT,District councils,3
MAL,District councils,3
BAB,District councils,3
CHT,District councils,3
SDE,District councils,3
RUG,District councils,3
CHI,District councils,3
HER,District councils,4
SHA,District councils,4
STA,District councils,4
TON,District councils,4
HIN,District councils,4
SKE,District councils,4
SST,District councils,4
CHA,District councils,4
OAD,District councils,4
MSU,District councils,4
SNO,District councils,4
DAC,District councils,4
NEW,District councils,4
BAN,District councils,4
EDE,District councils,4
SEL,District councils,4
CRA,District councils,4
LIF,District councils,4
HUN,District councils,4
MEL,District councils,4
SLA,District councils,4
SEV,District councils,4
WEA,District councils,4
CHL,District councils,4
TES,District councils,4
TEW,District councils,4
RIH,District councils,4
HAE,District councils,4
WAW,District councils,4
RUN,District councils,4
TAN,District councils,4
DEB,District councils,4
BRO,District councils,4
STR,District councils,4
BRM,District councils,4
NHE,District councils,5
ECA,District councils,5
NKE,District councils,5
TUN,District councils,5
REI,District councils,5
COT,District councils,5
HAG,District councils,5
WOI,District councils,5
STO,District councils,5
RIB,District councils,5
BLA,District councils,5
ROC,District councils,5
EHA,District councils,5
EAT,District councils,5
BRW,District councils,5
HOR,District councils,5
THE,District councils,5
WIN,District councils,5
MOL,District councils,5
GRT,District councils,5
UTT,District councils,5
FAR,District councils,5
EPS,District councils,5
WOX,District councils,5
SCA,District councils,5
SOX,District councils,5
VAL,District councils,5
SAL,District councils,5
EHE,District councils,5
SUR,District councils,5
HAO,District councils,5
ELM,District councils,5
MSS,District councils,5
WAE,District councils,5
RUS,District councils,5
HAT,District councils,5
BPL,Single tier,1
KWL,Single tier,1
LIV,Single tier,1
KHL,Single tier,1
MDB,Single tier,1
MAN,Single tier,1
BIR,Single tier,1
BBD,Single tier,1
BGW,Single tier,1
SAW,Single tier,1
HPL,Single tier,1
BRD,Single tier,1
NGM,Single tier,1
STE,Single tier,1
RCH,Single tier,1
SLF,Single tier,1
OLD,Single tier,1
MTY,Single tier,1
BDG,Single tier,1
HCK,Single tier,1
WLV,Single tier,1
HAL,Single tier,1
WLL,Single tier,1
SHN,Single tier,1
STY,Single tier,1
TAM,Single tier,1
GLG,Single tier,1
NTL,Single tier,1
NEL,Single tier,1
BOL,Single tier,1
LCE,Single tier,1
SND,Single tier,2
RCT,Single tier,2
DNC,Single tier,2
NWP,Single tier,2
BNS,Single tier,2
NET,Single tier,2
WRL,Single tier,2
RCC,Single tier,2
ROT,Single tier,2
IVC,Single tier,2
NWM,Single tier,2
WDU,Single tier,2
CAY,Single tier,2
GAT,Single tier,2
TOB,Single tier,2
HRY,Single tier,2
PTE,Single tier,2
DND,Single tier,2
LDS,Single tier,2
TWH,Single tier,2
ISL,Single tier,2
TOF,Single tier,2
WKF,Single tier,2
SHF,Single tier,2
POR,Single tier,2
SFT,Single tier,2
NAY,Single tier,2
STH,Single tier,2
DER,Single tier,2
PLY,Single tier,2
LEW,Single tier,2
DEN,Single tier,2
DUR,Single tier,2
CLD,Single tier,2
CRF,Single tier,3
BST,Single tier,3
NLK,Single tier,3
LUT,Single tier,3
COV,Single tier,3
WGN,Single tier,3
ENF,Single tier,3
STT,Single tier,3
SWK,Single tier,3
DAL,Single tier,3
SWA,Single tier,3
BEN,Single tier,3
EAY,Single tier,3
LBH,Single tier,3
KIR,Single tier,3
WFT,Single tier,3
BGE,Single tier,3
TFW,Single tier,3
CMN,Single tier,3
DUD,Single tier,3
GRE,Single tier,3
MDW,Single tier,3
BUR,Single tier,3
CLK,Single tier,3
WRX,Single tier,3
PEM,Single tier,3
IOW,Single tier,3
CON,Single tier,3
SLG,Single tier,3
EAL,Single tier,3
CRY,Single tier,3
SOS,Single tier,3
NLN,Single tier,3
HMF,Single tier,3
CWY,Single tier,4
AGY,Single tier,4
NTY,Single tier,4
RFW,Single tier,4
NBL,Single tier,4
HNS,Single tier,4
KEC,Single tier,4
THR,Single tier,4
SKP,Single tier,4
SLK,Single tier,4
CGN,Single tier,4
BNH,Single tier,4
SAY,Single tier,4
GWN,Single tier,4
CMD,Single tier,4
WSM,Single tier,4
FIF,Single tier,4
RDG,Single tier,4
NNT,Single tier,4
POW,Single tier,4
FAL,Single tier,4
WLN,Single tier,4
FLN,Single tier,4
WRT,Single tier,4
DGY,Single tier,4
HEF,Single tier,4
MLN,Single tier,4
BDF,Single tier,4
VGL,Single tier,4
SWD,Single tier,4
HIL,Single tier,4
BPC,Single tier,4
CHW,Single tier,4
MIK,Single tier,4
HLD,Single tier,4
WNT,Single tier,4
SOL,Single tier,4
AGB,Single tier,4
RDB,Single tier,4
ELS,Single tier,4
MON,Single tier,4
SHR,Single tier,5
HAV,Single tier,5
WND,Single tier,5
ANS,Single tier,5
BEX,Single tier,5
BNE,Single tier,5
TRF,Single tier,5
NSM,Single tier,5
SCB,Single tier,5
ELN,Single tier,5
DST,Single tier,5
STG,Single tier,5
ERY,Single tier,5
LND,Single tier,5
ABE,Single tier,5
HRW,Single tier,5
EDH,Single tier,5
CHE,Single tier,5
MRT,Single tier,5
MRY,Single tier,5
BRY,Single tier,5
PKN,Single tier,5
ORK,Single tier,5
STN,Single tier,5
ZET,Single tier,5
WIL,Single tier,5
CBF,Single tier,5
ABD,Single tier,5
IOS,Single tier,5
YOR,Single tier,5
BAS,Single tier,5
SGC,Single tier,5
EDU,Single tier,5
KTT,Single tier,5
BRC,Single tier,5
BUC,Single tier,5
ERW,Single tier,5
WBK,Single tier,5
RIC,Single tier,5
RUT,Single tier,5
WNM,Single tier,5
WOK,Single tier,5
